"strain","gene_id","go_level","go_description","go_id"
"Synechocystis","sll0036","Biological Process","activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway","GO:0007205"
"Synechocystis","sll0036","Biological Process","methylglyoxal biosynthetic process","GO:0019242"
"Synechocystis","sll0036","Molecular Function","diacylglycerol kinase activity","GO:0004143"
"Synechocystis","sll0036","Molecular Function","methylglyoxal synthase activity","GO:0008929"
"Synechocystis","sll0037","Biological Process","cobalamin biosynthetic process","GO:0009236"
"Synechocystis","sll0037","Molecular Function","lyase activity","GO:0016829"
"Synechocystis","sll0037","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","sll0038","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0038","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","sll0038","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","sll0039","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0039","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","sll0039","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","sll0042","Biological Process","chemotaxis","GO:0006935"
"Synechocystis","sll0042","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0042","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0042","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0043","Biological Process","chemotaxis","GO:0006935"
"Synechocystis","sll0043","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","sll0043","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","sll0043","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0043","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0043","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","sll0043","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0043","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0043","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0043","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","sll0043","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0043","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","sll0043","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","sll0043","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","sll0044","Biological Process","chemotaxis","GO:0006935"
"Synechocystis","sll0044","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0044","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0044","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","sll0045","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0051","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0051","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0051","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","sll0053","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0053","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0053","Molecular Function","biotin binding","GO:0009374"
"Synechocystis","sll0053","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0053","Molecular Function","ligase activity","GO:0016874"
"Synechocystis","sll0055","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0055","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0055","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","sll0055","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","sll0055","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","sll0057","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0057","Biological Process","protein import into mitochondrial matrix","GO:0030150"
"Synechocystis","sll0057","Cellular Component","mitochondrion","GO:0005739"
"Synechocystis","sll0057","Molecular Function","adenyl-nucleotide exchange factor activity","GO:0000774"
"Synechocystis","sll0057","Molecular Function","chaperone binding","GO:0051087"
"Synechocystis","sll0057","Molecular Function","protein binding","GO:0005515"
"Synechocystis","sll0057","Molecular Function","protein homodimerization activity","GO:0042803"
"Synechocystis","sll0058","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0058","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0058","Molecular Function","unfolded protein binding","GO:0051082"
"Synechocystis","sll0063","Biological Process","cytochrome complex assembly","GO:0017004"
"Synechocystis","sll0063","Biological Process","heme transport","GO:0015886"
"Synechocystis","sll0063","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0063","Molecular Function","heme transporter activity","GO:0015232"
"Synechocystis","sll0064","Biological Process","transport","GO:0006810"
"Synechocystis","sll0064","Cellular Component","outer membrane-bounded periplasmic space","GO:0030288"
"Synechocystis","sll0064","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0065","Biological Process","branched chain family amino acid biosynthetic process","GO:0009082"
"Synechocystis","sll0065","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0065","Molecular Function","acetolactate synthase activity","GO:0003984"
"Synechocystis","sll0065","Molecular Function","amino acid binding","GO:0016597"
"Synechocystis","sll0070","Biological Process","'de novo' IMP biosynthetic process","GO:0006189"
"Synechocystis","sll0070","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0070","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0070","Molecular Function","amino acid binding","GO:0016597"
"Synechocystis","sll0070","Molecular Function","formyltetrahydrofolate deformylase activity","GO:0008864"
"Synechocystis","sll0070","Molecular Function","hydroxymethyl-, formyl- and related transferase activity","GO:0016742"
"Synechocystis","sll0071","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0072","Molecular Function","sequence-specific DNA binding","GO:0043565"
"Synechocystis","sll0078","Biological Process","tRNA aminoacylation","GO:0043039"
"Synechocystis","sll0078","Biological Process","tRNA aminoacylation for protein translation","GO:0006418"
"Synechocystis","sll0078","Biological Process","threonyl-tRNA aminoacylation","GO:0006435"
"Synechocystis","sll0078","Biological Process","translation","GO:0006412"
"Synechocystis","sll0078","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0078","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0078","Molecular Function","aminoacyl-tRNA ligase activity","GO:0004812"
"Synechocystis","sll0078","Molecular Function","ligase activity, forming aminoacyl-tRNA and related compounds","GO:0016876"
"Synechocystis","sll0078","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0078","Molecular Function","threonine-tRNA ligase activity","GO:0004829"
"Synechocystis","sll0080","Biological Process","arginine biosynthetic process","GO:0006526"
"Synechocystis","sll0080","Biological Process","cellular amino acid biosynthetic process","GO:0008652"
"Synechocystis","sll0080","Biological Process","cellular amino acid metabolic process","GO:0006520"
"Synechocystis","sll0080","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0080","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0080","Molecular Function","N-acetyl-gamma-glutamyl-phosphate reductase activity","GO:0003942"
"Synechocystis","sll0080","Molecular Function","NAD or NADH binding","GO:0051287"
"Synechocystis","sll0080","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0080","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0080","Molecular Function","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","GO:0016620"
"Synechocystis","sll0080","Molecular Function","protein dimerization activity","GO:0046983"
"Synechocystis","sll0083","Biological Process","lipopolysaccharide core region biosynthetic process","GO:0009244"
"Synechocystis","sll0083","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0083","Molecular Function","D-sedoheptulose 7-phosphate isomerase activity","GO:0008968"
"Synechocystis","sll0084","Biological Process","histidine biosynthetic process","GO:0000105"
"Synechocystis","sll0084","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0084","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0084","Molecular Function","histidinol-phosphatase activity","GO:0004401"
"Synechocystis","sll0086","Biological Process","cellular metal ion homeostasis","GO:0006875"
"Synechocystis","sll0086","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0094","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","sll0094","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","sll0094","Biological Process","signal transduction","GO:0007165"
"Synechocystis","sll0094","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0094","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0094","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","sll0094","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","sll0094","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","sll0096","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0096","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0096","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0098","Biological Process","rRNA processing","GO:0006364"
"Synechocystis","sll0098","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0098","Molecular Function","RNA methyltransferase activity","GO:0008173"
"Synechocystis","sll0098","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0098","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","sll0099","Biological Process","cobalamin biosynthetic process","GO:0009236"
"Synechocystis","sll0099","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0099","Biological Process","tRNA modification","GO:0006400"
"Synechocystis","sll0099","Molecular Function","methyltransferase activity","GO:0008168"
"Synechocystis","sll0099","Molecular Function","precorrin-6Y C5,15-methyltransferase (decarboxylating) activity","GO:0046025"
"Synechocystis","sll0099","Molecular Function","protein methyltransferase activity","GO:0008276"
"Synechocystis","sll0099","Molecular Function","tRNA (guanine-N7-)-methyltransferase activity","GO:0008176"
"Synechocystis","sll0100","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0100","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0100","Molecular Function","protein binding","GO:0005515"
"Synechocystis","sll0108","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0108","Biological Process","transport","GO:0006810"
"Synechocystis","sll0108","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0108","Molecular Function","ammonium transmembrane transporter activity","GO:0008519"
"Synechocystis","sll0136","Biological Process","cellular process","GO:0009987"
"Synechocystis","sll0136","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0136","Molecular Function","aminopeptidase activity","GO:0004177"
"Synechocystis","sll0136","Molecular Function","manganese ion binding","GO:0030145"
"Synechocystis","sll0136","Molecular Function","metalloexopeptidase activity","GO:0008235"
"Synechocystis","sll0141","Biological Process","protein secretion","GO:0009306"
"Synechocystis","sll0141","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0141","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","sll0142","Biological Process","transport","GO:0006810"
"Synechocystis","sll0142","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0142","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0144","Biological Process","cellular amino acid biosynthetic process","GO:0008652"
"Synechocystis","sll0144","Biological Process","pyrimidine nucleotide biosynthetic process","GO:0006221"
"Synechocystis","sll0144","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0144","Molecular Function","UMP kinase activity","GO:0033862"
"Synechocystis","sll0144","Molecular Function","uridylate kinase activity","GO:0009041"
"Synechocystis","sll0145","Biological Process","translation","GO:0006412"
"Synechocystis","sll0145","Biological Process","translational termination","GO:0006415"
"Synechocystis","sll0145","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0146","Biological Process","transport","GO:0006810"
"Synechocystis","sll0146","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0146","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0148","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0148","Molecular Function","cysteine-type endopeptidase activity","GO:0004197"
"Synechocystis","sll0158","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","sll0158","Biological Process","glycogen biosynthetic process","GO:0005978"
"Synechocystis","sll0158","Molecular Function","1,4-alpha-glucan branching enzyme activity","GO:0003844"
"Synechocystis","sll0158","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0158","Molecular Function","cation binding","GO:0043169"
"Synechocystis","sll0158","Molecular Function","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553"
"Synechocystis","sll0160","Biological Process","respiratory electron transport chain","GO:0022904"
"Synechocystis","sll0160","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0160","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0160","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0161","Biological Process","transposition, DNA-mediated","GO:0006313"
"Synechocystis","sll0161","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0161","Molecular Function","transposase activity","GO:0004803"
"Synechocystis","sll0166","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0166","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0166","Biological Process","porphyrin biosynthetic process","GO:0006779"
"Synechocystis","sll0166","Biological Process","tetrapyrrole biosynthetic process","GO:0033014"
"Synechocystis","sll0166","Molecular Function","methyltransferase activity","GO:0008168"
"Synechocystis","sll0166","Molecular Function","uroporphyrinogen-III synthase activity","GO:0004852"
"Synechocystis","sll0169","Molecular Function","heat shock protein binding","GO:0031072"
"Synechocystis","sll0170","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0170","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0170","Molecular Function","unfolded protein binding","GO:0051082"
"Synechocystis","sll0171","Biological Process","glycine catabolic process","GO:0006546"
"Synechocystis","sll0171","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0171","Molecular Function","aminomethyltransferase activity","GO:0004047"
"Synechocystis","sll0173","Biological Process","antibiotic catabolic process","GO:0017001"
"Synechocystis","sll0173","Biological Process","response to antibiotic","GO:0046677"
"Synechocystis","sll0173","Molecular Function","carbon-oxygen lyase activity","GO:0016835"
"Synechocystis","sll0173","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","sll0174","Biological Process","transport","GO:0006810"
"Synechocystis","sll0174","Cellular Component","outer membrane-bounded periplasmic space","GO:0030288"
"Synechocystis","sll0174","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0175","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0177","Biological Process","DNA recombination","GO:0006310"
"Synechocystis","sll0177","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0177","Molecular Function","recombinase activity","GO:0000150"
"Synechocystis","sll0178","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0178","Cellular Component","nucleus","GO:0005634"
"Synechocystis","sll0178","Molecular Function","sequence-specific DNA binding","GO:0043565"
"Synechocystis","sll0178","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0179","Biological Process","glutamyl-tRNA aminoacylation","GO:0006424"
"Synechocystis","sll0179","Biological Process","tRNA aminoacylation for protein translation","GO:0006418"
"Synechocystis","sll0179","Biological Process","translation","GO:0006412"
"Synechocystis","sll0179","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0179","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0179","Molecular Function","aminoacyl-tRNA ligase activity","GO:0004812"
"Synechocystis","sll0179","Molecular Function","glutamate-tRNA ligase activity","GO:0004818"
"Synechocystis","sll0179","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0180","Biological Process","protein secretion","GO:0009306"
"Synechocystis","sll0180","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0180","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","sll0182","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","sll0182","Biological Process","transport","GO:0006810"
"Synechocystis","sll0182","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0182","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0182","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0182","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0182","Molecular Function","ATPase activity, coupled to transmembrane movement of substances","GO:0042626"
"Synechocystis","sll0182","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0182","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0183","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0184","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0184","Biological Process","transcription initiation","GO:0006352"
"Synechocystis","sll0184","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0184","Molecular Function","sigma factor activity","GO:0016987"
"Synechocystis","sll0184","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0185","Biological Process","transcription termination","GO:0006353"
"Synechocystis","sll0185","Molecular Function","transcription termination factor activity","GO:0003715"
"Synechocystis","sll0189","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0195","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0195","Molecular Function","ATP-dependent peptidase activity","GO:0004176"
"Synechocystis","sll0199","Molecular Function","copper ion binding","GO:0005507"
"Synechocystis","sll0199","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0202","Biological Process","tRNA processing","GO:0008033"
"Synechocystis","sll0202","Biological Process","tRNA wobble uridine modification","GO:0002098"
"Synechocystis","sll0202","Molecular Function","FAD binding","GO:0050660"
"Synechocystis","sll0204","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0204","Biological Process","tRNA processing","GO:0008033"
"Synechocystis","sll0204","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0204","Molecular Function","FAD binding","GO:0050660"
"Synechocystis","sll0204","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0204","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0204","Molecular Function","methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity","GO:0047151"
"Synechocystis","sll0207","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0207","Molecular Function","nucleotidyltransferase activity","GO:0016779"
"Synechocystis","sll0207","Molecular Function","transferase activity","GO:0016740"
"Synechocystis","sll0208","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0208","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0208","Molecular Function","transition metal ion binding","GO:0046914"
"Synechocystis","sll0209","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0209","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0209","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0209","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0209","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0209","Molecular Function","shikimate 5-dehydrogenase activity","GO:0004764"
"Synechocystis","sll0210","Biological Process","dephosphorylation","GO:0016311"
"Synechocystis","sll0210","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0210","Molecular Function","undecaprenyl-diphosphatase activity","GO:0050380"
"Synechocystis","sll0217","Molecular Function","FMN binding","GO:0010181"
"Synechocystis","sll0217","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0217","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0219","Molecular Function","FMN binding","GO:0010181"
"Synechocystis","sll0219","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0219","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0219","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0220","Biological Process","carbohydrate biosynthetic process","GO:0016051"
"Synechocystis","sll0220","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","sll0220","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0220","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","sll0220","Molecular Function","glutamine-fructose-6-phosphate transaminase (isomerizing) activity","GO:0004360"
"Synechocystis","sll0220","Molecular Function","sugar binding","GO:0005529"
"Synechocystis","sll0221","Biological Process","cell redox homeostasis","GO:0045454"
"Synechocystis","sll0221","Molecular Function","antioxidant activity","GO:0016209"
"Synechocystis","sll0221","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","sll0222","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0223","Biological Process","ATP synthesis coupled electron transport","GO:0042773"
"Synechocystis","sll0223","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0223","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll0224","Biological Process","transport","GO:0006810"
"Synechocystis","sll0224","Cellular Component","outer membrane-bounded periplasmic space","GO:0030288"
"Synechocystis","sll0224","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0226","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","sll0226","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","sll0226","Cellular Component","thylakoid","GO:0009579"
"Synechocystis","sll0227","Biological Process","protein folding","GO:0006457"
"Synechocystis","sll0227","Molecular Function","peptidyl-prolyl cis-trans isomerase activity","GO:0003755"
"Synechocystis","sll0228","Biological Process","polyamine biosynthetic process","GO:0006596"
"Synechocystis","sll0228","Molecular Function","agmatinase activity","GO:0008783"
"Synechocystis","sll0228","Molecular Function","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","GO:0016813"
"Synechocystis","sll0228","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","sll0236","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0236","Molecular Function","metallocarboxypeptidase activity","GO:0004181"
"Synechocystis","sll0236","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","sll0237","Biological Process","transport","GO:0006810"
"Synechocystis","sll0237","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0238","Biological Process","transport","GO:0006810"
"Synechocystis","sll0238","Cellular Component","membrane","GO:0016020"
"Synechocystis","sll0238","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","sll0240","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0240","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","sll0240","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0240","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0244","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","sll0244","Biological Process","galactose metabolic process","GO:0006012"
"Synechocystis","sll0244","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0244","Molecular Function","UDP-glucose 4-epimerase activity","GO:0003978"
"Synechocystis","sll0244","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0244","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0244","Molecular Function","coenzyme binding","GO:0050662"
"Synechocystis","sll0245","Cellular Component","intracellular","GO:0005622"
"Synechocystis","sll0245","Molecular Function","GTP binding","GO:0005525"
"Synechocystis","sll0247","Biological Process","photosynthesis, light reaction","GO:0019684"
"Synechocystis","sll0247","Biological Process","photosynthetic electron transport chain","GO:0009767"
